,subject,bvp,time_elapsed
768,11,15.61,12.0
769,11,20.33,12.015625
770,11,23.78,12.03125
771,11,26.13,12.046875
772,11,27.45,12.0625
773,11,27.74,12.078125
774,11,27.18,12.09375
775,11,26.12,12.109375
776,11,25.0,12.125
777,11,24.21,12.140625
778,11,23.83,12.15625
779,11,23.69,12.171875
780,11,23.46,12.1875
781,11,22.9,12.203125
782,11,22.01,12.21875
783,11,21.01,12.234375
784,11,20.22,12.25
785,11,19.88,12.265625
786,11,20.04,12.28125
787,11,20.51,12.296875
788,11,20.97,12.3125
789,11,21.06,12.328125
790,11,20.5,12.34375
791,11,19.19,12.359375
792,11,17.17,12.375
793,11,14.62,12.390625
794,11,11.8,12.40625
795,11,9.0,12.421875
796,11,6.45,12.4375
797,11,4.24,12.453125
798,11,2.32,12.46875
799,11,0.51,12.484375
800,11,-1.46,12.5
801,11,-3.77,12.515625
802,11,-6.55,12.53125
803,11,-9.72,12.546875
804,11,-13.11,12.5625
805,11,-16.47,12.578125
806,11,-19.63,12.59375
807,11,-22.52,12.609375
808,11,-25.25,12.625
809,11,-28.01,12.640625
810,11,-31.1,12.65625
811,11,-34.74,12.671875
812,11,-39.03,12.6875
813,11,-43.79,12.703125
814,11,-48.44,12.71875
815,11,-52.03,12.734375
816,11,-53.41,12.75
817,11,-51.58,12.765625
818,11,-46.05,12.78125
819,11,-37.11,12.796875
820,11,-25.76,12.8125
821,11,-13.46,12.828125
822,11,-1.62,12.84375
823,11,8.74,12.859375
824,11,17.18,12.875
825,11,23.7,12.890625
826,11,28.51,12.90625
827,11,31.81,12.921875
828,11,33.72,12.9375
829,11,34.34,12.953125
830,11,33.89,12.96875
831,11,32.69,12.984375
832,11,31.14,13.0
833,11,29.58,13.015625
834,11,28.21,13.03125
835,11,27.1,13.046875
836,11,26.2,13.0625
837,11,25.49,13.078125
838,11,24.98,13.09375
839,11,24.75,13.109375
840,11,24.85,13.125
841,11,25.24,13.140625
842,11,25.78,13.15625
843,11,26.24,13.171875
844,11,26.35,13.1875
845,11,25.91,13.203125
846,11,24.86,13.21875
847,11,23.28,13.234375
848,11,21.4,13.25
849,11,19.46,13.265625
850,11,17.67,13.28125
851,11,16.02,13.296875
852,11,14.41,13.3125
853,11,12.63,13.328125
854,11,10.59,13.34375
855,11,8.29,13.359375
856,11,5.88,13.375
857,11,3.48,13.390625
858,11,1.12,13.40625
859,11,-1.3,13.421875
860,11,-3.94,13.4375
861,11,-6.83,13.453125
862,11,-9.92,13.46875
863,11,-12.98,13.484375
864,11,-15.82,13.5
